Recipe,Ingredients,Details
Фрикадельки,Говядина,"Шаг 1

Мякоть говядины отделить от костей.
Из костей сварить бульон. Для этого кости вымыть, залить холодной водой (1 л), довести до кипения, снять шум.
Варить бульон на небольшом огне под крышкой около часа.

Шаг 2

Мякоть разрезать на куски, два раза пропустить через мясорубку.

Шаг 3

Лук очистить, вымыть, мелко нарезать.

Шаг 4

Добавить в фарш соль, пeрец, часть мелко нарезанного репчатого лука (50 г), яйцо.

Шаг 5

Тщательно перемешать фарш.

Шаг 6

Мокрыми руками разделать фарш на небольшие шарики (размером с грецкий орех), которые обвалять в муке.

Шаг 7

На сковороду выложить масло, растопить. В горячее масло выложить подготовленные фрикадельки.

Шаг 8

Затем их обжарить на среднем огне до золотисто с двух сторон (1-2 минуты с каждой стороны).

Шаг 9

Выложить фрикадельки в кастрюлю.

Шаг 10

В горячее масло выложить вторую половину лука. Обжарить лук на среднем огне до золотистости, помешивая (2-3 минуты).

Шаг 11

В другую сухую сковороду выложить муку. Муку поджарить до темно-коричневого цвета на среднем огне, помешивая, 2-3 минуты.

Шаг 12

Муку развести небольшим количеством бульона (50 мл). Добавлять частями, хорошо перемешивать, чтобы не было комочков.

Шаг 13

Добавить мелко нарезаннный и обжаренный на масле репчатый лук, томат-пюре.

Шаг 14

Затем сахар, красный перец, винный уксус.

Шаг 15

Довести все до кипения. Томатная подлива готова.

Шаг 16

Обжаренные фрикадельки залить приготовленной томатной
подливкой.

Шаг 17

Затем на небольшом огне под крышкой готовить фрикадельки 3-5 минут.

Шаг 18

Фрикадельки с томатной подливкой готовы.

Шаг 19

Зелень вымыть, измельчить.

Шаг 20

Подавать с любимым гарниром. При подаче посыпать фрикадельки с подливкой мелко нарезанной зеленью петрушки.
Приятного аппетита!"
Фрикадельки,Репчатый лук,
Фрикадельки,Яйца,
Фрикадельки,Сливочное масло,
Фрикадельки,Томатная паста,
Фрикадельки,Мука,
Фрикадельки,Сахар,
Фрикадельки,Соль,
Фрикадельки,Черный перец,
Фрикадельки,Перец,
Макароны,Лапша,"Шаг 1

Для варки макарон лучше взять толстостенную посуду, не наполняя ее до краев.
Макаронам при варке должно быть просторно, поэтому на каждые 100 г макарон необходимо взять 1 л воды.

Шаг 2

Воду довести до кипения.
Прежде чем опустить макароны в кипящую воду, посолить ее, причем солить надо, когда вода начинает закипать.
Если добавить в кипящую воду немного молока или мясного бульона, макароны будут вкуснее.

Шаг 3

В бурно кипящую воду опустить макароны. Длинные макароны погружать в воду, не ломая, оставляя торчащими концы.

Шаг 4

После чего слегка надавить на них, и они опустятся в воду по мере размягчения.
Как только процесс кипения восстановится, нагрев уменьшить настолько, чтобы вода кипела, не выплескиваясь из кастрюли.
Такой режим сохранять до конца варки, периодически помешивая макароны ложкой

Шаг 5

Варить толстые макароны - 20-25 минут, соломку или спагетти - 15 минут, лапшу - 12-15 минут, тонкие, как вермишель, изделия
- 10 минут. В готовом виде они не должны иметь мучнистого слоя на месте прикуса.

Шаг 6

Сваренные макароны откинуть на дуршлаг, чтобы стекла вода
(отвар, оставшийся после варки макарон, можно использовать для приготовления заправочных супов, супов-пюре и соусов).

Шаг 7

Быстро переложить макароны в ту же горячую кастрюлю, добавить масло.
И, закрыв кастрюлю крышкой, встряхнуть (не следует промывать сваренные макаронные изделия водой)."
Макароны,Вода,
Макароны,Соль,
Макароны,Сливочное масло,
Картофельное пюре,Картофель,"Шаг 1

Подготовить ингредиенты. Картофель почистить.

Шаг 2

Выложить картофель в кастрюлю и залить холодной водой на 2 см выше уровня картофеля.
Варить около 15-20 минут, готовность проверить вилкой – она должна свободно входить в картофель.
Необходимо посолить картофель сразу же, как закипит.

Шаг 3

Пока картофель варится, необходимо растопить сливочное масло в молоке, которое необходимо подогреть, но не доводить до кипения.

Шаг 4

Остудить молочно-маслянную смесь.

Шаг 5

Когда картофель сварится, необходимо слить воду и специальной толкушкой размять картофель.

Шаг 6

Добавить растопленное молоко с маслом в картофель и хорошо перемешать.

Шаг 7

Чтобы картофельное пюре получилось нежным и воздушным, необходимо взбивать его миксером около 3-4 минут.

Шаг 8

Готовое картофельное пюре можно подавать с любым вторым блюдом, будь то овощное, мясное или рыбное.

Шаг 9

Картофельное пюре готово! Перед подачей можно украсить гарнир, посыпав любой зеленью. Приятного аппетита!"
Картофельное пюре,Сливочное масло,
Картофельное пюре,Молоко,
Картофельное пюре,Соль,
